QuestionId	Category	FieldCategory	Title
NLM-001	面接	共通・汎用	アドミッション・ポリシーへの理解
NLM-002	小論文	法・政治・政策系	デジタル投票と民主主義の変容
NLM-003	小論文	教育・保育系	教育格差と機会の平等
NLM-004	小論文	医療・保健系	「死の教育」の現代的意義
NLM-005	小論文	国際・社会・地域系	異文化理解とコミュニケーション
NLM-006	面接	医療・保健系	専門分野の倫理性と価値判断
NLM-007	小論文	医療・保健系	図表読解：ボランティア意識の国際比較
NLM-008	小論文	経済・経営系	環境問題と経済活動の共存
NLM-009	小論文	教育・保育系	学校教育におけるデジタル化
NLM-010	小論文	医療・保健系	医師の働き方改革と地域医療
NLM-011	小論文	文・人文系	伝統文化の継承とグローバル化
NLM-012	小論文	理工・自然科学系	科学技術の倫理的限界
NLM-013	面接	医療・保健系	倫理観とプロ意識
NLM-014	小論文	法・政治・政策系	人口減少下における「国家のアイデンティティ」
NLM-015	志望理由書	国際・社会・地域系	共生社会への寄与と自己の専門性
NLM-016	面接	理工・自然科学系	工学への興味とニュース（口頭試問型）
NLM-017	志望理由書	共通・汎用	学習履歴（調査書）の主体的解釈
NLM-018	志望理由書	理工・自然科学系	デジタル時代における学問の誠実性
NLM-019	面接	理工・自然科学系	一次情報と学問的誠実性の確認
NLM-020	志望理由書	理工・自然科学系	データサイエンス学部 志望理由
NLM-021	志望理由書	国際・社会・地域系	グローバルリーダーへの決意表明
NLM-022	志望理由書	国際・社会・地域系	地域貢献とキャリアプラン
NLM-023	小論文	医療・保健系	高齢社会における医療と倫理
NLM-024	小論文	医療・保健系	地域医療格差と医師の偏在
NLM-025	小論文	共通・汎用	フールプルーフの概念と社会設計
NLM-026	小論文	医療・保健系	チーム医療におけるコミュニケーション
NLM-027	小論文	共通・汎用	「学ぶこと」の意義と創造性
NLM-028	小論文	医療・保健系	医師の働き方改革と医療の質
NLM-029	小論文	医療・保健系	科学技術の進歩と倫理的葛藤
NLM-030	面接	医療・保健系	医師としての適性と倫理観
NLM-031	志望理由書	共通・汎用	挫折経験と大学での探究テーマ
NLM-032	志望理由書	医療・保健系	専門職志望とカリキュラムの合致
NLM-033	志望理由書	経済・経営系	少子高齢化に伴う労働市場の課題
NLM-034	志望理由書	教育・保育系	学際的な視点からアプローチする課題
NLM-035	志望理由書	文・人文系	読書体験を起点とした学問的探究
NLM-036	志望理由書	スポーツ系	組織運営の経験と経営学・社会学
NLM-037	志望理由書	共通・汎用	日常の疑問から始まる専門研究の志望
NLM-038	志望理由書	教育・保育系	大学の教育実践との出会いと志望動機
NLM-039	志望理由書	教育・保育系	特定研究室での探究計画と志望理由
NLM-040	志望理由書	経済・経営系	社会構造の変化に対する自身のキャリア
NLM-041	志望理由書	国際・社会・地域系	情報社会におけるメディアの役割と探究
