QuestionId,Category,FieldCategory,Title,Prompt,FollowUpQuestions,ModelAnswer,University,Difficulty,Reference,Source
NLM-001,面接,共通・汎用,アドミッション・ポリシーへの理解,私たちの大学（学部）の「アドミッション・ポリシー」の中で、あなたが最も共感する項目はどれですか？,その項目を体現しているあなたの具体的な行動は？ | 大学生活でそれをどう深めていきたいですか？,・特定のポリシーの文言の引用・自身のこれまでの活動との合致・そのポリシーが社会に必要とされる理由・入学後の学習を通じた自己更新・将来その精神をどう社会で実践するか。採点ポイント：大学の理念を十分に理解しているか。言葉の意味を自分自身の体験に引き寄せて（具体的な詞書きのように）具体化できているかを評価する。,（志望大学のポリシーに準ずる）,標準,365日の小論文「第26週 相手に合わせた話題」「第31週 詞書き」,1
NLM-002,小論文,法・政治・政策系,デジタル投票と民主主義の変容,【課題文要旨】若者の投票率向上のため、スマートフォン等による電子投票の導入が議論されている。利便性は高まるが、なりすましや投票の質の低下、サイバー攻撃のリスクも指摘されている。【設問】日本は国政選挙に電子投票を導入すべきか。その功罪を整理した上で、あなたの考えを1000字以内で述べなさい。,,・電子投票のメリット（コスト削減、利便性）を挙げる（引用） ・電子投票のデメリット（不正、安易な投票）を挙げる（引用） ・導入の是非について自分の「判断」を下す（全肯定・全否定・条件付き等） ・判断の根拠として、日本の政治文化や教育の現状を分析する ・技術的対策と、有権者のリテラシー教育の両面から「提案」を行う 採点ポイント：設問の要求（功罪、自分の考え）に過不足なく応答できているか。,,標準,小論文のツボ60（例題1）：設問応答型小論文の典型例（電子投票）,2
NLM-003,小論文,教育・保育系,教育格差と機会の平等,【課題文要旨】親の経済力や居住地域によって教育環境に差が生じる「教育格差」が固定化されつつある。IT技術の活用でオンライン学習は普及したが、動機付けや環境整備には依然として格差が存在する。【設問】教育の機会平等を守るために、行政や学校が果たすべき役割を800字以内で論じなさい。,,・現状の格差をデータや具体例で提示する（報告） ・格差の真因を、経済面だけでなく「情報・意欲の格差」から分析する（分析） ・「神の視点（断定的な語調）」を使いつつ、大胆な政策を提言する ・教育を単なる「知識の詰め込み」から「思考の場」へ変える案を出す（提案） ・「起承転結」ではなく「応答・根拠・提案」の型で構成する 採点ポイント：批判に終始せず、必ず建設的な「対案（提案）」を含めているか。,,発展,"小論文のツボ60（13, 23）：起承転結の否定と「批判には必ず提案を」の原則",2
NLM-004,小論文,医療・保健系,「死の教育」の現代的意義,【課題文要旨】現代社会では「死」が日常生活から隔離され、隠蔽される傾向にある。しかし、死を直視することは、生をより豊かにすることに繋がるという考え方（デス・エデュケーション）がある。【設問】学校教育において「死」をどのように扱うべきか。あなたの考えを800字以内で論じなさい。,,・現代の「死の否定」という時代背景を引用する ・特定の死生観を押し付けることの「有害性」に触れる（反例） ・言葉による知識教育だけでなく、「感じる教育（例：動物飼育）」を提案する ・「死」を「生の有限性」として捉え直す視点を示す（判断） ・結論を最初に明快に述べる（応答） 採点ポイント：デリケートなテーマに対し、誠実かつ論理的な距離感を保って論じられているか。,,発展,小論文のツボ60（例題2）：死の教育を通じた引用・判断・根拠・提案の練習,2
NLM-005,小論文,国際・社会・地域系,異文化理解とコミュニケーション,【課題文要旨】グローバル化により異なる背景を持つ人々との共生が求められている。しかし、「郷に入っては郷に従え」という考えと、個々の多様な文化を尊重する考えが衝突することもある。【設問】多文化共生社会において、他者と「共通の土台」を築くために必要な態度は何か、600字以内で論じなさい。,,・議論の前提（共通認識）を疑うところから始める（誠実な疑い） ・主語（私は〜）を明確にし、自分自身の視点から語る ・「曖昧な表現」を避け、定義を明確にした言葉を使う（一文一義） ・同類・対極の事例を比較し、コミュニケーションの本質を導き出す ・単なる「寛容」という精神論ではなく、具体的な対話の「型」を提案する 採点ポイント：日本的な「察する文化」に依存せず、論理的・明示的な伝達力を示せているか。,,標準,"小論文のツボ60（19, 38）：神の視点（断定）と主語・目的語の明記",2
NLM-006,面接,医療・保健系,専門分野の倫理性と価値判断,「（専門分野の倫理的問題について）あなたはどう考えますか？（例：出生前診断、環境破壊、AIの倫理等）」,「その問題における『事実（客観的データ）』と、あなたの『意見（価値判断）』を明確に分けて説明してください。また、社会全体にとっての『善』とは何かをどう定義しますか？,・感情的な反応ではなく、まず客観的な「事実」を整理して述べる ・自分の「価値判断」がどのような前提に基づいているかを明示する ・「二者択一」の議論に逃げず、複雑なトレードオフ関係を認める（分析） ・対立する利害関係者の意見を「引用」し、その上で自分の判断を述べる ・社会的文脈を踏まえた、持続可能な「提案」で締めくくる 採点ポイント：高度な論理的思考力と、専門職を志す者としての倫理観をバランス良く示せているか。,,発展,"小論文のツボ60（49, 51）：事実と意見の区別、二者択一の回避",2
NLM-007,小論文,医療・保健系,図表読解：ボランティア意識の国際比較,【資料】日本の若者のボランティア参加率が諸国と比較して極端に低い一方、参加動機として「自己成長」や「新しい出会い」を挙げる割合が高いという二つの図表を提示。【設問】図表から読み取れる日本の現状を解説した上で、その要因を考察し、今後のあり方を800字以内で述べなさい。,,・図表の「極端な部分」の指摘（読解） ・参加率の低さと個人的動機の強さの因果分析 ・社会制度や教育背景との関連付け ・ボランティアの定義の再構築（パラダイムシフト） ・参加を促す「仕組み」の提案 採点ポイント：図表の数値を正確に「引用」し、そこから論理的な「判断」を導けているか。独りよがりな妄想（主観的根拠）に陥っていないかを評価する。,看護系大学（傾向参考）,標準,小論文のツボ60 第30項。図表の「極端な部分」に注目し、主張を読み取る手法,3
NLM-008,小論文,経済・経営系,環境問題と経済活動の共存,【課題文要旨】気候変動対策としての「脱成長」という考え方がある一方で、途上国の経済発展を優先すべきだという議論もある。この対立する二つの視点を踏まえ、環境と経済を両立させるために必要なイノベーションについて、あなたの考えを800字以内で述べなさい。,,・二つの視点の整理と矛盾の指摘・両立が必要な理由・具体的なイノベーションの例・その実現に向けた障壁の分析・国際的な協力体制の必要性・結論。採点ポイント：多角的な視点（二律背反の調整）を持ち、社会科学的な基礎知識を用いて論理的に解決策を提示しているか。,,発展,4 社会科学系学部の頻出テーマ（経済格差・環境）と、問題解決の視点を反映。,4
NLM-009,小論文,教育・保育系,学校教育におけるデジタル化,【課題文要旨】GIGAスクール構想により一人一台端末が普及したが、教員の指導力や生徒のネットリテラシーには格差がある。教育の質を均一化するために優先すべき施策は何か、あなたの意見を600字以内で記述しなさい。,,・ICT活用の現状と格差の指摘・最優先すべき施策の提示（教員研修か教材開発か等）・その施策が有効である根拠・予想される副作用と対策・教育の本来の目的との整合性・まとめ。採点ポイント：教育現場の具体的課題を把握し、一貫性のある論理構成（導入・本論・結論）で記述できているか。,,標準,4 教育学部の頻出テーマと、構成力（パラグラフごとの役割）の指導。,4
NLM-010,小論文,医療・保健系,医師の働き方改革と地域医療,【課題文要旨】医師の長時間労働を制限する「働き方改革」は、地方の医師不足を加速させる懸念がある。医療の安全と提供体制の維持をどう両立させるべきか、提示された「地域別医師数」のデータを参照して800字以内で論じなさい。,,・医師偏在のデータの客観的分析・働き方改革の意義（安全・健康）・地方医療崩壊の懸念の整理・タスク・シフティング等の具体的解決策・自身の将来の医療従事者としての覚悟・結論。採点ポイント：専門分野（医学）への関心の高さと、データに基づいた多角的・客観的な分析力を評価。,,発展,4 医療系学部の頻出テーマと、データ読み取りと意見の接続を反映。,4
